Issue Title,Issue Body,Feature Request
Failed to update helm charts from repository,"## Bug Report

```
 helm repo update
Hang tight while we grab the latest from your chart repositories...
...Successfully got an update from the ""harbor"" chart repository
...Successfully got an update from the ""localstack-repo"" chart repository
...Successfully got an update from the ""nginx-stable"" chart repository
...Successfully got an update from the ""csi-driver-nfs"" chart repository
...Successfully got an update from the ""gremlin"" chart repository
...Successfully got an update from the ""cilium"" chart repository
...Successfully got an update from the ""rook-release"" chart repository
...Successfully got an update from the ""jetstack"" chart repository
...Successfully got an update from the ""jenkins"" chart repository
...Successfully got an update from the ""litmuschaos"" chart repository
...Successfully got an update from the ""chaos-mesh"" chart repository
...Successfully got an update from the ""keptn"" chart repository
...Successfully got an update from the ""datadog"" chart repository
...Successfully got an update from the ""kubevela"" chart repository
index.go:346: skipping loading invalid entry for chart ""tidb-cluster"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-cluster"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-drainer"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-drainer"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-lightning"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-lightning"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-operator"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-operator"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tikv-importer"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tikv-importer"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-backup"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
index.go:346: skipping loading invalid entry for chart ""tidb-backup"" ""master"" from https://charts.pingcap.org/: validation: chart.metadata.version ""master"" is invalid
...Successfully got an update from the ""pingcap"" chart repository
...Successfully got an update from the ""grafana"" chart repository
...Successfully got an update from the ""prometheus-community"" chart repository
...Successfully got an update from the ""traefik"" chart repository
...Successfully got an update from the ""bitnami"" chart repository


```",False
Notes about compatibility with PSS(pod security standard),ref: https://github.com/chaos-mesh/chaos-mesh/issues/3610,False
Note about the overlapping and combination of different NetworkChaos,"One `loss` NetworkChaos and another `delay` NetworkChaos would not affect on one pod at the same time, the post one would overwrite the former one.

User should use `action: netem` to inject the combination NetworkChaos, which should be mentioned in the documentation.


https://github.com/chaos-mesh/chaos-mesh/issues/3631#issuecomment-1251352396",True
Better observability for Chaos Experiment itself,"## Feature Request

**Is your feature request related to a problem? Please describe:**
<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

Yes. For example, when inject `NetworkChaos` with `action: loss` with 10% percentage, and the application  uses TCP-based network protocol, it nearly makes **nothing** about the application.

But something did happen! 

For example, we could use `ping` and `netstat -st` to discover what happens.

**Describe the feature you'd like:**
<!-- A clear and concise description of what you want to happen. -->

**Describe alternatives you've considered:**
<!-- A clear and concise description of any alternative solutions or features you've considered. -->

**Teachability, Documentation, Adoption, Migration Strategy:**
<!-- If you can, explain some scenarios how users might use this, situations it would be helpful in. Any API designs, mockups, or diagrams are also helpful. -->
",True
could not bootstrap kubernetes cluster with CNI flannel,"### What Happened?

minikube version

```
minikube version
minikube version: v1.26.1
commit: 62e108c3dfdec8029a890ad6d8ef96b6461426dc
```

step to reproduce:

- execute `minikube start --cni flannel`
- every workload (including coredns) would stuck in `ContainerCreating` 
- execute `k describe pod -n kube-system coredns-x-x`

There would be some error message in the event

```
  Warning  FailedCreatePodSandBox  3m                kubelet            Failed to create pod sandbox: rpc error: code = Unknown desc = [failed to set up sandbox container ""b17871cf37fec75d431480096c668f785d555f2b07d94ce1e699a9590d4f54e0"" network for pod ""coredns-6d4b75cb6d-78ktc"": networkPlugin cni failed to set up pod ""coredns-6d4b75cb6d-78ktc_kube-system"" network: missing network name:, failed to clean up sandbox container ""b17871cf37fec75d431480096c668f785d555f2b07d94ce1e699a9590d4f54e0"" network for pod ""coredns-6d4b75cb6d-78ktc"": networkPlugin cni failed to teardown pod ""coredns-6d4b75cb6d-78ktc_kube-system"" network: missing network name]
  Normal   SandboxChanged          8s (x14 over 3m)  kubelet            Pod sandbox changed, it will be killed and re-created.
```

Manually bypass:

- after I append `""name"": ""loopback""` into the `/etc/cni/net.d/200-loopback.conf`, the pod could finally be created. 


### Attach the log file

[log.txt](https://github.com/kubernetes/minikube/files/9580674/log.txt)


### Operating System

macOS (Default)

### Driver

Docker",False
CI: migrating from ti-chi-bot to prow,"## Feature Request

ti-chi-bot is a customized prow bot, which provides many different flavors to push development progress: https://github.com/ti-community-infra/tichi/blob/master/docs/README.md

We are facing several problems with ti-chi-bot:

- uncontrolled configuration: the configuration of ti-chi-bot is stored at https://github.com/ti-community-infra/configs, and none of chaos mesh maintainers/committers has permission to update the configuration. Especially when we cut the new branch to release a new version.
- the maintaining status of ti-chi-bot is confusing: on the one hand, ti-chi-bot is still under active development, and a few commits would be pushed weekly. But the documentation, RFC, and other collaboration are not updated and transparent anymore. So it's hard to figure out if the bot would work as expected in the long future.
- over-complexed review routine: plugin is the most powerful part of the ti-chi-bot/prow bot, but many of customized plugin are NOT required with Chaos Mesh. I prefer to think there is not soo heavy developing work to force us to use a restricted rule like ""issue-triage"", ""LGT<1/2/3>"" and so on. 

I think what we need are:

- setup reviewers for PR (maybe with `OWNER`)
- merge PR automatically with enough approval or LGTM
- the ability to block the PR merging process(like `/hold` when code freezing)
- cherry-pick PR to other branches

And that could be done with the native prow bot. :)

CNCF had given us several compute resources for the CI workload, and we had build a kubernetes cluster on them, for running our test cases on ARM machines. I think we could use that kubernetes cluster to run our own prow bot.
",True
book.prow.tidb.io is not available,"## Bug Report

- [x] I have searched the issues of this repository and believe that this is not a duplicate.

### Related link

https://book.prow.tidb.io/

### Steps to reproduce(Optional)

### What is expected?

### What is actually happening?

<img width=""1506"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/190306220-8b75a74a-2792-4e65-ba33-74fb208be2cc.png"">

",False
CI: more static code analyzer tools,"## Feature Request

**Is your feature request related to a problem? Please describe:**
No.

**Describe the feature you'd like:**

Introduce more static code analyzers to restrict code quality.

**Describe alternatives you've considered:**
<!-- A clear and concise description of any alternative solutions or features you've considered. -->

**Teachability, Documentation, Adoption, Migration Strategy:**
<!-- If you can, explain some scenarios how users might use this, situations it would be helpful in. Any API designs, mockups, or diagrams are also helpful. -->
",True
switch versioned documentation would not change the URL,"This issue happens with versioned documentation 2.3.1.

For example:

1. I am watching the `Next` version documentation now:
<img width=""1463"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/189848291-ed5b0398-5990-49db-9056-32f6e8dc1dab.png"">

2. then I switch to the `2.3.1` version, the content and the tag have updated, but the URL NOT.

<img width=""1192"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/189848490-e3064fcc-8e33-41e4-80ba-22da1ffa1131.png"">

3. I switch to the `2.2.3` version, all of the content, tag and the URL changed:

<img width=""1221"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/189848679-c9363517-2185-4b4a-80de-41b97e22dfb4.png"">


It would mislead the URL when someone wants to share the documentation.

And I think it might be related to thsi file: https://github.com/chaos-mesh/website/blob/0aa15b0896fdd5a7781e23a86b6f7e5fef489404/versioned_sidebars/version-2.3.1-sidebars.json

In the former `versione_x.x.x-sidebar.json` file, each entry would specify the certain id with version prefix, like:

```json
    {
      ""type"": ""category"",
      ""label"": ""Tools Integration"",
      ""items"": [
        {
          ""type"": ""doc"",
          ""id"": ""version-2.2.3/integrate-chaos-mesh-into-github-actions""
        },
        {
          ""type"": ""doc"",
          ""id"": ""version-2.2.3/use-grafana-data-source""
        },
        {
          ""type"": ""doc"",
          ""id"": ""version-2.2.3/chaosctl-tool""
        }
      ],
      ""collapsible"": true,
      ""collapsed"": true
    },
```

but in `version-2.3.1-sidebars.json`, it becomes;

```json
    {
      ""type"": ""category"",
      ""label"": ""Tools Integration"",
      ""items"": [
        ""integrate-chaos-mesh-into-github-actions"",
        ""use-grafana-data-source"",
        ""chaosctl-tool""
      ]
    },
```

exactly same with the outer `sidebar.json`.

It seems the behaviors changes of `yarn docusaurus docs:version 2.3.1` makes this issue.

 ",False
"still using ""prerelease: true"" when releasing 2.3.0 and 2.3.1","I just noticed the annotation for releases 2.3.0 and 2.3.1 on artifact hub are still with ""Prerelease"":
<img width=""348"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/189839988-d82fff1d-ae0c-4455-982d-694c240b0a6b.png"">


https://artifacthub.io/packages/helm/chaos-mesh/chaos-mesh

It's not a critical issue but we should fix it with next patch version.

",False
CI: Check Markdown links is flaky,"We notice that ""Check Markdown link"" failed a lot in the past several days: 

https://github.com/chaos-mesh/chaos-mesh/actions/workflows/checklink.yaml

We should update  this CI:

- only trigger when `*.md` file changes
- enrich the whitelist/ignorelist with some doamin",True
Kubernetes 1.25 compatibility,"## Feature Request

Make sure that Chaos Mesh is available on Kubernetes 1.25.",True
Update Issue template about bug report and question,"We'd better move the issue with the label `type/question` into GitHub Discussion, it the better place to response as a stackoverflow-like Q&A and could also mark one reply as an answer.

So we should update the issue template, redirect the question to GitHub Discussion",True
create docs about monitoring chaos mesh,ref: https://github.com/chaos-mesh/chaos-mesh/issues/3575#issuecomment-1230518320,True
maybe vendoring is not necessary,"I noticed that we have vendored the dependencies, but we do not use `-mod=vendor` when compiling the binary, so I think maybe the vendor might be not necessary. ❤️",False
CI: Integration Test failed because of the version skew between kubernetes server and client(kubectl),"After Kubernetes 1.25.0 release, our integration test pipeline would setup Kubernetes Cluster 1.25.0 and kubectl 1.23.1:

https://github.com/chaos-mesh/chaos-mesh/blob/62f9e43c6bb1a32ae19b0dba07da626fc17dce85/.github/workflows/integration_test.yml#L21-L25

This would lead to this error:

```
check Kubernetes failed, error: WARNING: version difference between client (1.25) and server (1.23) exceeds the supported minor version skew of +/-1
Error: Process completed with exit code 1.
```

https://github.com/chaos-mesh/chaos-mesh/runs/8108618285?check_suite_focus=true",False
remove crd v1beta1 support,"Refs to https://github.com/chaos-mesh/chaos-mesh/issues/3169. We would bump the minimum support Kubernetes version to 1.19 with the next minor release.

CRD v1beta1 would be removed with Kubernetes 1.16, so there is no reason to keep it.",False
Artifacts and Docs,"I think we could make a release as the GA recently.

We should attach these artifacts with the release:

- [x] shared/static libraries for different platforms. https://github.com/reddio-com/reddio-sdk/blob/main/.github/workflows/unity-plugin-zip.yaml
- [x] the `unitypackage` file for importing into Unity, including libraries and configured metadata. https://github.com/reddio-com/reddio-sdk/releases

And provides these docs:

- [x] How we build this DEMO on Android with Unity https://github.com/reddio-com/reddio-sdk/blob/example-unity/examples/ReddioSDKUnityExample/README.md
- [ ] API Reference for `crypto`
- [ ] How to build artifacts and release this project

Feel free to append more entries if you think they are required.",False
"the default value of `startingDeadlineSeconds ` is not 0, is `nil`",https://chaos-mesh.org/docs/define-scheduling-rules/#startingdeadlineseconds-field,False
"it seems we do not append ""CNCF-CLA"" as one of the check in PR.","CNCF requires contributor to sign the CLA, but it seems we do not have it in the PR checks.",True
CI: the bot could not create the cherrypick PR with conflicts,"After we apply the ""keep a CHANGELOG"", the cherypick processing becomes a little bit complex: 

- it would often be failed with conflict, like  
  - https://github.com/chaos-mesh/chaos-mesh/pull/3489#issuecomment-1198167181
  - https://github.com/chaos-mesh/chaos-mesh/pull/3505#issuecomment-1200841053

We want the bot could create the PR event with conflict need to be resolved",False
kindly remind: register the domain,"Hi! I notice that you are building the website for kubewarf and other related components.

I noticed that the common-used `.io` domain like `kubewarf.io`, `kubebrain.io` and `kubezoo.io` were still available.

Please be harry to register them if you want to use these domain. :)",True
"Question: more other backends support,  and native watch support ","I noticed that kubebrain already supported these storage ""backend"":

- badger
- in-memeory memkv / skiplist
- tikv

Do we have plans to support more other `KvStorage` backends like Redis, MongoDB, aerospike, and so on?

Another question is, many KV Databases already support WATCH API as the basic operation, should we consider the support for the native watch API?",True
`lets init static` failed when moving the uncompressed files,"When I follow the documentation: https://docs.let.sh/, and try to deploy the static site, this issue occurs to me.

<img width=""594"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/181023815-881da8e4-7eb5-47cf-b232-808550ca33bd.png"">
<img width=""1001"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/181023838-8acb8641-42db-4251-8d65-656869d796e0.png"">

We should use another way to move files across different devices.

Related codes:
https://github.com/let-sh/cli/blob/87ce54b0344e297723e971adf5a1a75c35504a5f/cmd/init.go#L81-L87

I am very pleased to contribute to fix this issue, fell free to assign this issue on me",False
"Question: A little confusion about the stateless, availability and scalability.","I totally admit that Kubebrain is definitely a GREAT project! And thank you open-source it! 🎉🎉🎉

I also considered how to make Kubernetes run on TiKV, and make the adapter layer efficient and flexible. I have some questions about the design and implementation of kubebrain. Please let me know what I missed! ❤️

It seems kubebrain uses a “master-slave” architecture, and  “watch routine” only happens on the leader. So when using kubebrain with the official kube-apiserver, I could only configure the leader’s IP as the etcd server. But the leadeship would be changed, but the configuration on kube-apiserver is not easy to change. So I think currently, there is no easy way to use multi-instance kubebrain with official kube-apiserver.

And I noticed that we would build a proxy for kubebrain on the ROADMAP. Until the proxy works as what etcd does, I think this problem would be resolved. :) 

Or do we have other suggested ways to setup multi-instance kubebrain with official kube-apiserver?

Another issue with “single master” is scalability. The performance of the master-slave architecture applications is restricted by the power of the single node. Do we have a plan or idea for migrating to “multi-master” design?",False
How about prune the dependency of `k8s.io/kubernetes`,"### What would you like to be added?

I found that the only usage of `k8s.io/kubernetes` is here:

https://github.com/kubewharf/kubebrain/blob/793d0cfde538ab9d05995efdc54e9e594fb44d15/cmd/main.go#L56

I am very pleased to contribute if my proposal is accepted.



### Why is this needed?

- It would reduce lots of time of preparing the dev environment and also the time of building kubebrain. 
- it would reduce the concern about ""which version of `k8s.io/kubernetes` should we use"" , and many related go modules replace issues

You know, the much better dev experience. :P",True
`unstable_cache` with certain value of revalidation interval persisted incorrectly in production build,"### Link to the code that reproduces this issue

https://codesandbox.io/p/devbox/blissful-alex-456x8x?layout=%257B%2522sidebarPanel%2522%253A%2522EXPLORER%2522%252C%2522rootPanelGroup%2522%253A%257B%2522direction%2522%253A%2522horizontal%2522%252C%2522contentType%2522%253A%2522UNKNOWN%2522%252C%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522id%2522%253A%2522ROOT_LAYOUT%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522UNKNOWN%2522%252C%2522direction%2522%253A%2522vertical%2522%252C%2522id%2522%253A%2522clyg9bptg00063j6kfzrtt3fc%2522%252C%2522sizes%2522%253A%255B70.12953367875647%252C29.870466321243526%255D%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522EDITOR%2522%252C%2522direction%2522%253A%2522horizontal%2522%252C%2522id%2522%253A%2522EDITOR%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL%2522%252C%2522contentType%2522%253A%2522EDITOR%2522%252C%2522id%2522%253A%2522clyg9bptg00023j6k3w4rphuo%2522%257D%255D%257D%252C%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522SHELLS%2522%252C%2522direction%2522%253A%2522horizontal%2522%252C%2522id%2522%253A%2522SHELLS%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL%2522%252C%2522contentType%2522%253A%2522SHELLS%2522%252C%2522id%2522%253A%2522clyg9bptg00043j6kmh0go18l%2522%257D%255D%252C%2522sizes%2522%253A%255B100%255D%257D%255D%257D%252C%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522DEVTOOLS%2522%252C%2522direction%2522%253A%2522vertical%2522%252C%2522id%2522%253A%2522DEVTOOLS%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL%2522%252C%2522contentType%2522%253A%2522DEVTOOLS%2522%252C%2522id%2522%253A%2522clyg9bptg00053j6kuo9qzs1s%2522%257D%255D%252C%2522sizes%2522%253A%255B100%255D%257D%255D%252C%2522sizes%2522%253A%255B50%252C50%255D%257D%252C%2522tabbedPanels%2522%253A%257B%2522clyg9bptg00023j6k3w4rphuo%2522%253A%257B%2522tabs%2522%253A%255B%257B%2522id%2522%253A%2522clyg9bptg00013j6kpjw6zalf%2522%252C%2522mode%2522%253A%2522permanent%2522%252C%2522type%2522%253A%2522FILE%2522%252C%2522filepath%2522%253A%2522%252FREADME.md%2522%252C%2522state%2522%253A%2522IDLE%2522%257D%255D%252C%2522id%2522%253A%2522clyg9bptg00023j6k3w4rphuo%2522%252C%2522activeTabId%2522%253A%2522clyg9bptg00013j6kpjw6zalf%2522%257D%252C%2522clyg9bptg00053j6kuo9qzs1s%2522%253A%257B%2522id%2522%253A%2522clyg9bptg00053j6kuo9qzs1s%2522%252C%2522activeTabId%2522%253A%2522clylmf4wx00db3j6kdqtpusu6%2522%252C%2522tabs%2522%253A%255B%257B%2522type%2522%253A%2522UNASSIGNED_PORT%2522%252C%2522port%2522%253A3000%252C%2522id%2522%253A%2522clylmf4wx00db3j6kdqtpusu6%2522%252C%2522mode%2522%253A%2522permanent%2522%252C%2522path%2522%253A%2522%252Fcached%252F24h%2522%257D%255D%257D%252C%2522clyg9bptg00043j6kmh0go18l%2522%253A%257B%2522id%2522%253A%2522clyg9bptg00043j6kmh0go18l%2522%252C%2522tabs%2522%253A%255B%257B%2522type%2522%253A%2522TASK_LOG%2522%252C%2522taskId%2522%253A%2522pnpm%2520run%2520start%2522%252C%2522id%2522%253A%2522clylnrz7h00xc3j6kvp3ugs6o%2522%252C%2522mode%2522%253A%2522permanent%2522%257D%255D%252C%2522activeTabId%2522%253A%2522clylnrz7h00xc3j6kvp3ugs6o%2522%257D%257D%252C%2522showDevtools%2522%253Atrue%252C%2522showShells%2522%253Atrue%252C%2522showSidebar%2522%253Atrue%252C%2522sidebarPanelSize%2522%253A15%257D

### To Reproduce

1. Build the app with `pnpm run build`
2. Start the app with `pnpm run start`
3. Visit page `/cached/24h`, write down the timestamp shown on the page
4. Wait for 24 hours (or manually age the cache on FS with `touch -d ""-24 hour"" ""path/to/multiple/cached/files/of/the/corresponding/route"" -- I have tried both)
5. Visit page `/cached/24h` again, optionally refresh as many times as you like, observe the console output and the actual rendered content

### Current vs. Expected behavior

#### Current Behavior

1. The rendered content page `/cached/24h` remains stale, despite that:
2. The console shows that the component is re-rendered after the reproducing step 5 (I have added a `console.log` to determine if it is re-rendered);
3. The console shows that the fetching function wrapped by `unstable_cache` was executed after the reproducing step 5 (I have added a `console.log` inside the fetch function to determine if it is executed);
4. The ""Modify"" and ""Change"" timestamps of the cache files are updated, but their contents are stale.
5. The ""control group"" page `/cached/10s` is revalidating and persisting the cache correctly.

The current behavior means that when the page `/cached/24h` is revalidated, although the fetch function wrapped by `unstable_cache` is executed again, **_its latest result is overwritten by stale result_** no matter what. The ""control group"" page `/cached/10s`, however, works fine, meaning that this issue is related to specific revalidation interval(s).

#### Expected Behavior

The page `/cached/24h` is revalidated and cached correctly, such that when visited (and refreshed) 24h later, it shows a timestamp within approximately 24h.

### Provide environment information

```bash
Operating System:
  Platform: linux
  Arch: x64
  Version: #1 SMP PREEMPT_DYNAMIC Sun Aug  6 20:05:33 UTC 2023
  Available memory (MB): 4102
  Available CPU cores: 2
Binaries:
  Node: 20.9.0
  npm: 9.8.1
  Yarn: 1.22.19
  pnpm: 8.10.2
Relevant Packages:
  next: 15.0.0-canary.66 // Latest available version is detected (15.0.0-canary.66).
  eslint-config-next: N/A
  react: 19.0.0-rc-6f23540c7d-20240528
  react-dom: 19.0.0-rc-6f23540c7d-20240528
  typescript: 5.3.3
Next.js Config:
  output: N/A
```


### Which area(s) are affected? (Select all that apply)

Output (export/standalone)

### Which stage(s) are affected? (Select all that apply)

next start (local), Vercel (Deployed)

### Additional context

The same happens in Next 15 RC version:

* Reproducer repo: https://github.com/Luluno01/next-15-cache-reproducer
* Reproducer deployment: https://next-15-cache.vercel.app/cached/24h

The same problem exists in Next 13.5.4. Interestingly, Next 15 RC and Canary seem to NOT have this issue if the route is dynamic (e.g., `/cached/[interval]`), while in Next 13.5.4, **_the same issue happens to dynamic routes_**.",False
`ImageResponse` not handling (merging) `headers` option correctly,"### Link to the code that reproduces this issue

https://codesandbox.io/p/devbox/jovial-tree-fwk39m?file=%2Fapp%2Fpage.tsx%3A4%2C62&layout=%257B%2522sidebarPanel%2522%253A%2522EXPLORER%2522%252C%2522rootPanelGroup%2522%253A%257B%2522direction%2522%253A%2522horizontal%2522%252C%2522contentType%2522%253A%2522UNKNOWN%2522%252C%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522id%2522%253A%2522ROOT_LAYOUT%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522UNKNOWN%2522%252C%2522direction%2522%253A%2522vertical%2522%252C%2522id%2522%253A%2522clyg9bptg00063j6kfzrtt3fc%2522%252C%2522sizes%2522%253A%255B70%252C30%255D%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522EDITOR%2522%252C%2522direction%2522%253A%2522horizontal%2522%252C%2522id%2522%253A%2522EDITOR%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL%2522%252C%2522contentType%2522%253A%2522EDITOR%2522%252C%2522id%2522%253A%2522clyg9bptg00023j6k3w4rphuo%2522%257D%255D%257D%252C%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522SHELLS%2522%252C%2522direction%2522%253A%2522horizontal%2522%252C%2522id%2522%253A%2522SHELLS%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL%2522%252C%2522contentType%2522%253A%2522SHELLS%2522%252C%2522id%2522%253A%2522clyg9bptg00043j6kmh0go18l%2522%257D%255D%252C%2522sizes%2522%253A%255B100%255D%257D%255D%257D%252C%257B%2522type%2522%253A%2522PANEL_GROUP%2522%252C%2522contentType%2522%253A%2522DEVTOOLS%2522%252C%2522direction%2522%253A%2522vertical%2522%252C%2522id%2522%253A%2522DEVTOOLS%2522%252C%2522panels%2522%253A%255B%257B%2522type%2522%253A%2522PANEL%2522%252C%2522contentType%2522%253A%2522DEVTOOLS%2522%252C%2522id%2522%253A%2522clyg9bptg00053j6kuo9qzs1s%2522%257D%255D%252C%2522sizes%2522%253A%255B100%255D%257D%255D%252C%2522sizes%2522%253A%255B50%252C50%255D%257D%252C%2522tabbedPanels%2522%253A%257B%2522clyg9bptg00023j6k3w4rphuo%2522%253A%257B%2522tabs%2522%253A%255B%257B%2522id%2522%253A%2522clyg9bptg00013j6kpjw6zalf%2522%252C%2522mode%2522%253A%2522permanent%2522%252C%2522type%2522%253A%2522FILE%2522%252C%2522filepath%2522%253A%2522%252FREADME.md%2522%252C%2522state%2522%253A%2522IDLE%2522%257D%252C%257B%2522id%2522%253A%2522clyga1kel00023j6jbbv43sut%2522%252C%2522mode%2522%253A%2522permanent%2522%252C%2522type%2522%253A%2522FILE%2522%252C%2522initialSelections%2522%253A%255B%257B%2522startLineNumber%2522%253A4%252C%2522startColumn%2522%253A62%252C%2522endLineNumber%2522%253A4%252C%2522endColumn%2522%253A62%257D%255D%252C%2522filepath%2522%253A%2522%252Fapp%252Fpage.tsx%2522%252C%2522state%2522%253A%2522IDLE%2522%257D%255D%252C%2522id%2522%253A%2522clyg9bptg00023j6k3w4rphuo%2522%252C%2522activeTabId%2522%253A%2522clyga1kel00023j6jbbv43sut%2522%257D%252C%2522clyg9bptg00053j6kuo9qzs1s%2522%253A%257B%2522id%2522%253A%2522clyg9bptg00053j6kuo9qzs1s%2522%252C%2522tabs%2522%253A%255B%257B%2522type%2522%253A%2522UNASSIGNED_PORT%2522%252C%2522port%2522%253A3000%252C%2522id%2522%253A%2522clyg9yq6t00es3j6k6oy35ccs%2522%252C%2522mode%2522%253A%2522permanent%2522%252C%2522path%2522%253A%2522%252F%2522%257D%255D%252C%2522activeTabId%2522%253A%2522clyg9yq6t00es3j6k6oy35ccs%2522%257D%252C%2522clyg9bptg00043j6kmh0go18l%2522%253A%257B%2522id%2522%253A%2522clyg9bptg00043j6kmh0go18l%2522%252C%2522tabs%2522%253A%255B%257B%2522id%2522%253A%2522clyg9bptg00033j6k5zx5lc4f%2522%252C%2522mode%2522%253A%2522permanent%2522%252C%2522type%2522%253A%2522TASK_LOG%2522%252C%2522taskId%2522%253A%2522dev%2522%257D%255D%252C%2522activeTabId%2522%253A%2522clyg9bptg00033j6k5zx5lc4f%2522%257D%257D%252C%2522showDevtools%2522%253Atrue%252C%2522showShells%2522%253Atrue%252C%2522showSidebar%2522%253Atrue%252C%2522sidebarPanelSize%2522%253A15%257D

### To Reproduce

1. `npm run build && npm run start`
2. Visit root page `/`
3. The `ImageResponse` will have a bogus `Cache-Control` header `public, immutable, no-transform, max-age=31536000, max-age=3600, s-maxage=3600`

### Current vs. Expected behavior

Currently, `ImageResponse` merges the `headers` options while keeping all default headers instead of respecting the explicit overwrite from the developer. E.g., ""{ headers: { 'Cache-Control': 'max-age=3600, s-maxage=3600' } }` becomes `Cache-Control: public, immutable, no-transform, max-age=31536000, max-age=3600, s-maxage=3600`.

As an expected behavior, ""{ headers: { 'Cache-Control': 'max-age=3600, s-maxage=3600' } }` should become `Cache-Control: max-age=3600, s-maxage=3600`.

### Provide environment information

```bash
Operating System:
  Platform: linux
  Arch: x64
  Version: #1 SMP PREEMPT_DYNAMIC Sun Aug  6 20:05:33 UTC 2023
  Available memory (MB): 4102
  Available CPU cores: 2
Binaries:
  Node: 20.9.0
  npm: 9.8.1
  Yarn: 1.22.19
  pnpm: 8.10.2
Relevant Packages:
  next: 15.0.0-canary.62 // Latest available version is detected (15.0.0-canary.62).
  eslint-config-next: N/A
  react: 19.0.0-rc-6f23540c7d-20240528
  react-dom: 19.0.0-rc-6f23540c7d-20240528
  typescript: 5.3.3
Next.js Config:
  output: N/A
```


### Which area(s) are affected? (Select all that apply)

Not sure

### Which stage(s) are affected? (Select all that apply)

next dev (local), next start (local), Vercel (Deployed)

### Additional context

_No response_",False
